,wavenumber,absorbance
0,3996.31543,0.00014
1,3994.38671,0.00013
2,3992.45799,0.0001
3,3990.52926,0.00011
4,3988.60054,0.00017
5,3986.67182,0.00024
6,3984.74309,0.00022
7,3982.81437,0.00012
8,3980.88564,0.0
9,3978.95692,0.0
10,3977.0282,0.00011
11,3975.09947,0.00019
12,3973.17075,0.00013
13,3971.24203,3e-05
14,3969.3133,5e-05
15,3967.38458,0.0002
16,3965.45586,0.00035
17,3963.52713,0.0004
18,3961.59841,0.00038
19,3959.66968,0.00038
20,3957.74096,0.00046
21,3955.81224,0.0006
22,3953.88351,0.00073
23,3951.95479,0.00077
24,3950.02607,0.00072
25,3948.09734,0.00068
26,3946.16862,0.0007
27,3944.2399,0.00069
28,3942.31117,0.00053
29,3940.38245,0.00034
30,3938.45372,0.00037
31,3936.525,0.00058
32,3934.59628,0.00079
33,3932.66755,0.00084
34,3930.73883,0.00072
35,3928.81011,0.00057
36,3926.88138,0.00051
37,3924.95266,0.00051
38,3923.02393,0.00053
39,3921.09521,0.00061
40,3919.16649,0.00069
41,3917.23776,0.00069
42,3915.30904,0.0006
43,3913.38032,0.00047
44,3911.45159,0.00035
45,3909.52287,0.00038
46,3907.59415,0.00067
47,3905.66542,0.00095
48,3903.7367,0.00091
49,3901.80797,0.00066
50,3899.87925,0.00043
51,3897.95053,0.00028
52,3896.0218,0.00027
53,3894.09308,0.00039
54,3892.16436,0.00045
55,3890.23563,0.00044
56,3888.30691,0.00052
57,3886.37819,0.00061
58,3884.44946,0.00061
59,3882.52074,0.00061
60,3880.59201,0.00053
61,3878.66329,0.00046
62,3876.73457,0.00066
63,3874.80584,0.00102
64,3872.87712,0.00121
65,3870.9484,0.00111
66,3869.01967,0.00082
67,3867.09095,0.00064
68,3865.16222,0.0005
69,3863.2335,0.00024
70,3861.30478,7e-05
71,3859.37605,0.00027
72,3857.44733,0.00087
73,3855.51861,0.00149
74,3853.58988,0.00147
75,3851.66116,0.00075
76,3849.73244,0.00015
77,3847.80371,0.0
78,3845.87499,0.00018
79,3843.94626,0.00062
80,3842.01754,0.00108
81,3840.08882,0.00126
82,3838.16009,0.001
83,3836.23137,0.0006
84,3834.30265,0.00042
85,3832.37392,0.00037
86,3830.4452,0.00037
87,3828.51648,0.00045
88,3826.58775,0.00056
89,3824.65903,0.00077
90,3822.7303,0.001
91,3820.80158,0.00099
92,3818.87286,0.00085
93,3816.94413,0.00082
94,3815.01541,0.00073
95,3813.08669,0.00071
96,3811.15796,0.00093
97,3809.22924,0.00127
98,3807.30052,0.00146
99,3805.37179,0.00153
100,3803.44307,0.00168
101,3801.51434,0.00181
102,3799.58562,0.00182
103,3797.6569,0.00168
104,3795.72817,0.00144
105,3793.79945,0.00139
106,3791.87073,0.00163
107,3789.942,0.00191
108,3788.01328,0.00208
109,3786.08455,0.00219
110,3784.15583,0.00232
111,3782.22711,0.00255
112,3780.29838,0.00274
113,3778.36966,0.00276
114,3776.44094,0.00285
115,3774.51221,0.00323
116,3772.58349,0.00375
117,3770.65477,0.00408
118,3768.72604,0.00418
119,3766.79732,0.00434
120,3764.86859,0.00467
121,3762.93987,0.00513
122,3761.01115,0.00559
123,3759.08242,0.00596
124,3757.1537,0.00641
125,3755.22498,0.00716
126,3753.29625,0.00807
127,3751.36753,0.00881
128,3749.43881,0.00932
129,3747.51008,0.00987
130,3745.58136,0.01043
131,3743.65263,0.01077
132,3741.72391,0.01115
133,3739.79519,0.01194
134,3737.86646,0.01315
135,3735.93774,0.01449
136,3734.00902,0.01563
137,3732.08029,0.01658
138,3730.15157,0.01767
139,3728.22284,0.01907
140,3726.29412,0.02064
141,3724.3654,0.0222
142,3722.43667,0.02387
143,3720.50795,0.02572
144,3718.57923,0.02763
145,3716.6505,0.02961
146,3714.72178,0.03188
147,3712.79306,0.03459
148,3710.86433,0.03751
149,3708.93561,0.04029
150,3707.00688,0.04296
151,3705.07816,0.04578
152,3703.14944,0.04898
153,3701.22071,0.05245
154,3699.29199,0.05582
155,3697.36327,0.05895
156,3695.43454,0.06198
157,3693.50582,0.06506
158,3691.5771,0.06854
159,3689.64837,0.07263
160,3687.71965,0.07675
161,3685.79092,0.08033
162,3683.8622,0.08369
163,3681.93348,0.08734
164,3680.00475,0.09138
165,3678.07603,0.09586
166,3676.14731,0.10102
167,3674.21858,0.10611
168,3672.28986,0.11036
169,3670.36113,0.11459
170,3668.43241,0.11895
171,3666.50369,0.12264
172,3664.57496,0.12593
173,3662.64624,0.12934
174,3660.71752,0.13276
175,3658.78879,0.13615
176,3656.86007,0.1397
177,3654.93135,0.14312
178,3653.00262,0.14597
179,3651.0739,0.14883
180,3649.14517,0.15239
181,3647.21645,0.15606
182,3645.28773,0.15905
183,3643.359,0.16159
184,3641.43028,0.1641
185,3639.50156,0.16662
186,3637.57283,0.16909
187,3635.64411,0.17157
188,3633.71539,0.17405
189,3631.78666,0.17651
190,3629.85794,0.17911
191,3627.92921,0.18178
192,3626.00049,0.18408
193,3624.07177,0.18603
194,3622.14304,0.18796
195,3620.21432,0.19001
196,3618.2856,0.1919
197,3616.35687,0.19334
198,3614.42815,0.1947
199,3612.49942,0.19647
200,3610.5707,0.19857
201,3608.64198,0.20065
202,3606.71325,0.20246
203,3604.78453,0.20402
204,3602.85581,0.20564
205,3600.92708,0.20751
206,3598.99836,0.20941
207,3597.06964,0.21107
208,3595.14091,0.21259
209,3593.21219,0.21408
210,3591.28346,0.21548
211,3589.35474,0.21691
212,3587.42602,0.21859
213,3585.49729,0.22032
214,3583.56857,0.22188
215,3581.63985,0.2234
216,3579.71112,0.22495
217,3577.7824,0.2265
218,3575.85368,0.22804
219,3573.92495,0.22959
220,3571.99623,0.23103
221,3570.0675,0.23231
222,3568.13878,0.23354
223,3566.21006,0.23488
224,3564.28133,0.23622
225,3562.35261,0.2375
226,3560.42389,0.23877
227,3558.49516,0.2401
228,3556.56644,0.24146
229,3554.63771,0.24273
230,3552.70899,0.2439
231,3550.78027,0.24492
232,3548.85154,0.24589
233,3546.92282,0.24707
234,3544.9941,0.24844
235,3543.06537,0.24971
236,3541.13665,0.25087
237,3539.20793,0.25212
238,3537.2792,0.25333
239,3535.35048,0.25435
240,3533.42175,0.25528
241,3531.49303,0.25632
242,3529.56431,0.25751
243,3527.63558,0.25879
244,3525.70686,0.25998
245,3523.77814,0.26098
246,3521.84941,0.26188
247,3519.92069,0.26279
248,3517.99197,0.26366
249,3516.06324,0.26447
250,3514.13452,0.26529
251,3512.20579,0.2662
252,3510.27707,0.2672
253,3508.34835,0.26818
254,3506.41962,0.26907
255,3504.4909,0.26994
256,3502.56218,0.2709
257,3500.63345,0.27188
258,3498.70473,0.27279
259,3496.776,0.2736
260,3494.84728,0.27437
261,3492.91856,0.27519
262,3490.98983,0.27595
263,3489.06111,0.27652
264,3487.13239,0.27706
265,3485.20366,0.27785
266,3483.27494,0.27877
267,3481.34622,0.27952
268,3479.41749,0.28017
269,3477.48877,0.28091
270,3475.56004,0.28172
271,3473.63132,0.28248
272,3471.7026,0.28312
273,3469.77387,0.28363
274,3467.84515,0.2843
275,3465.91643,0.28511
276,3463.9877,0.28571
277,3462.05898,0.28608
278,3460.13026,0.28642
279,3458.20153,0.2868
280,3456.27281,0.28714
281,3454.34408,0.28753
282,3452.41536,0.288
283,3450.48664,0.28854
284,3448.55791,0.28906
285,3446.62919,0.28952
286,3444.70047,0.28994
287,3442.77174,0.29039
288,3440.84302,0.29085
289,3438.91429,0.29129
290,3436.98557,0.29175
291,3435.05685,0.29225
292,3433.12812,0.2926
293,3431.1994,0.29272
294,3429.27068,0.29287
295,3427.34195,0.29331
296,3425.41323,0.2938
297,3423.48451,0.29396
298,3421.55578,0.29389
299,3419.62706,0.29397
300,3417.69833,0.29424
301,3415.76961,0.29449
302,3413.84089,0.29465
303,3411.91216,0.2948
304,3409.98344,0.29506
305,3408.05472,0.29535
306,3406.12599,0.29562
307,3404.19727,0.2958
308,3402.26855,0.29586
309,3400.33982,0.29589
310,3398.4111,0.29593
311,3396.48237,0.29604
312,3394.55365,0.29611
313,3392.62493,0.296
314,3390.6962,0.29588
315,3388.76748,0.29592
316,3386.83876,0.29598
317,3384.91003,0.29598
318,3382.98131,0.2959
319,3381.05259,0.29563
320,3379.12386,0.29532
321,3377.19514,0.29527
322,3375.26641,0.2954
323,3373.33769,0.29539
324,3371.40897,0.2952
325,3369.48024,0.29501
326,3367.55152,0.29485
327,3365.6228,0.29464
328,3363.69407,0.29434
329,3361.76535,0.29401
330,3359.83662,0.2938
331,3357.9079,0.29376
332,3355.97918,0.29376
333,3354.05045,0.29368
334,3352.12173,0.2935
335,3350.19301,0.29325
336,3348.26428,0.29293
337,3346.33556,0.29255
338,3344.40684,0.29209
339,3342.47811,0.29162
340,3340.54939,0.2913
341,3338.62066,0.29109
342,3336.69194,0.29083
343,3334.76322,0.29058
344,3332.83449,0.29043
345,3330.90577,0.29029
346,3328.97705,0.29004
347,3327.04832,0.28971
348,3325.1196,0.2893
349,3323.19088,0.28887
350,3321.26215,0.28854
351,3319.33343,0.28829
352,3317.4047,0.28798
353,3315.47598,0.28761
354,3313.54726,0.28724
355,3311.61853,0.28689
356,3309.68981,0.28653
357,3307.76109,0.28616
358,3305.83236,0.28575
359,3303.90364,0.28536
360,3301.97491,0.285
361,3300.04619,0.28465
362,3298.11747,0.28434
363,3296.18874,0.28406
364,3294.26002,0.28382
365,3292.3313,0.28365
366,3290.40257,0.2835
367,3288.47385,0.28324
368,3286.54513,0.28281
369,3284.6164,0.2823
370,3282.68768,0.28173
371,3280.75895,0.28107
372,3278.83023,0.28047
373,3276.90151,0.28012
374,3274.97278,0.27988
375,3273.04406,0.27958
376,3271.11534,0.27919
377,3269.18661,0.27876
378,3267.25789,0.27833
379,3265.32917,0.27783
380,3263.40044,0.27722
381,3261.47172,0.27657
382,3259.54299,0.276
383,3257.61427,0.27559
384,3255.68555,0.27522
385,3253.75682,0.27471
386,3251.8281,0.27404
387,3249.89938,0.27345
388,3247.97065,0.27303
389,3246.04193,0.27259
390,3244.1132,0.27201
391,3242.18448,0.27139
392,3240.25576,0.2707
393,3238.32703,0.27002
394,3236.39831,0.2695
395,3234.46959,0.26909
396,3232.54086,0.26862
397,3230.61214,0.26805
398,3228.68342,0.26744
399,3226.75469,0.2668
400,3224.82597,0.26615
401,3222.89724,0.26549
402,3220.96852,0.26479
403,3219.0398,0.264
404,3217.11107,0.26321
405,3215.18235,0.2625
406,3213.25363,0.26178
407,3211.3249,0.26107
408,3209.39618,0.26043
409,3207.46746,0.25981
410,3205.53873,0.25912
411,3203.61001,0.25835
412,3201.68128,0.25754
413,3199.75256,0.25672
414,3197.82384,0.25594
415,3195.89511,0.25522
416,3193.96639,0.25445
417,3192.03767,0.25358
418,3190.10894,0.25273
419,3188.18022,0.25192
420,3186.25149,0.25101
421,3184.32277,0.24998
422,3182.39405,0.24902
423,3180.46532,0.2482
424,3178.5366,0.24732
425,3176.60788,0.24633
426,3174.67915,0.24542
427,3172.75043,0.24459
428,3170.82171,0.24371
429,3168.89298,0.24281
430,3166.96426,0.24187
431,3165.03553,0.24081
432,3163.10681,0.23972
433,3161.17809,0.23875
434,3159.24936,0.23796
435,3157.32064,0.23723
436,3155.39192,0.23637
437,3153.46319,0.23541
438,3151.53447,0.23443
439,3149.60575,0.23342
440,3147.67702,0.23243
441,3145.7483,0.23152
442,3143.81957,0.23058
443,3141.89085,0.22963
444,3139.96213,0.22881
445,3138.0334,0.22802
446,3136.10468,0.227
447,3134.17596,0.2259
448,3132.24723,0.225
449,3130.31851,0.22424
450,3128.38978,0.22337
451,3126.46106,0.22236
452,3124.53234,0.22131
453,3122.60361,0.22028
454,3120.67489,0.21931
455,3118.74617,0.21839
456,3116.81744,0.21746
457,3114.88872,0.21653
458,3112.96,0.21561
459,3111.03127,0.21465
460,3109.10255,0.21368
461,3107.17382,0.21279
462,3105.2451,0.21193
463,3103.31638,0.21097
464,3101.38765,0.2099
465,3099.45893,0.20884
466,3097.53021,0.20782
467,3095.60148,0.20679
468,3093.67276,0.20578
469,3091.74404,0.20477
470,3089.81531,0.20373
471,3087.88659,0.20275
472,3085.95786,0.2018
473,3084.02914,0.20077
474,3082.10042,0.19973
475,3080.17169,0.19875
476,3078.24297,0.19771
477,3076.31425,0.19659
478,3074.38552,0.19548
479,3072.4568,0.19441
480,3070.52807,0.19337
481,3068.59935,0.19232
482,3066.67063,0.19114
483,3064.7419,0.18991
484,3062.81318,0.18877
485,3060.88446,0.18775
486,3058.95573,0.18679
487,3057.02701,0.18586
488,3055.09829,0.18488
489,3053.16956,0.18384
490,3051.24084,0.18271
491,3049.31211,0.18151
492,3047.38339,0.18039
493,3045.45467,0.17938
494,3043.52594,0.17838
495,3041.59722,0.17734
496,3039.6685,0.17624
497,3037.73977,0.17517
498,3035.81105,0.17421
499,3033.88233,0.17328
500,3031.9536,0.17228
501,3030.02488,0.17124
502,3028.09615,0.17025
503,3026.16743,0.16935
504,3024.23871,0.16847
505,3022.30998,0.16757
506,3020.38126,0.16661
507,3018.45254,0.16562
508,3016.52381,0.16475
509,3014.59509,0.164
510,3012.66636,0.16329
511,3010.73764,0.16255
512,3008.80892,0.1618
513,3006.88019,0.16105
514,3004.95147,0.16035
515,3003.02275,0.15968
516,3001.09402,0.159
517,2999.1653,0.15835
518,2997.23658,0.15779
519,2995.30785,0.15723
520,2993.37913,0.15662
521,2991.4504,0.15604
522,2989.52168,0.15558
523,2987.59296,0.15526
524,2985.66423,0.15502
525,2983.73551,0.15479
526,2981.80679,0.15458
527,2979.87806,0.15442
528,2977.94934,0.15441
529,2976.02062,0.15458
530,2974.09189,0.1547
531,2972.16317,0.15472
532,2970.23444,0.1548
533,2968.30572,0.15496
534,2966.377,0.15512
535,2964.44827,0.15528
536,2962.51955,0.15539
537,2960.59083,0.15539
538,2958.6621,0.15526
539,2956.73338,0.155
540,2954.80466,0.15464
541,2952.87593,0.15425
542,2950.94721,0.15389
543,2949.01848,0.15366
544,2947.08976,0.15366
545,2945.16104,0.15389
546,2943.23231,0.15438
547,2941.30359,0.15511
548,2939.37487,0.15605
549,2937.44614,0.15707
550,2935.51742,0.15805
551,2933.58869,0.15894
552,2931.65997,0.15977
553,2929.73125,0.16039
554,2927.80252,0.16058
555,2925.8738,0.16026
556,2923.94508,0.15931
557,2922.01635,0.15753
558,2920.08763,0.15503
559,2918.15891,0.15219
560,2916.23018,0.14926
561,2914.30146,0.14648
562,2912.37273,0.14397
563,2910.44401,0.1417
564,2908.51529,0.13965
565,2906.58656,0.13781
566,2904.65784,0.13613
567,2902.72912,0.13454
568,2900.80039,0.13295
569,2898.87167,0.13135
570,2896.94295,0.12985
571,2895.01422,0.12846
572,2893.0855,0.12706
573,2891.15677,0.1257
574,2889.22805,0.12444
575,2887.29933,0.12328
